timestamp,src_ip,dst_ip,username,department,protocol,source_port,destination_port,packet_size,bytes_sent,bytes_received,session_duration,login_time,logout_time,login_success,failed_login_count,file_access_count,email_sent_count,usb_inserted,database_queries,privilege_level,access_sensitive_data,off_hours_activity,geo_location,vpn_used,anomaly_score,insider_threat_label,hour,dayofweek,month
,172.18.121.75,192.168.74.68,user_386,5,3,15202,443,423,0.8274033934383734,0.6305486701763899,2942,,,1,1.895925365547499,3.3882090189048415,14,0,1.0095048240816011,1,1,0,2,0,73.34,1,,,
2026-06-11 04:09:00,172.22.123.39,192.168.146.243,user_20,3,0,42277,80,197,-1.2354283628464164,-1.4179039742899244,3533,2026-06-11 04:09:00,2026-06-11 03:02:00,1,0.0736994695818717,0.24172842137008824,11,0,-0.1101118523068234,1,0,0,3,1,70.48,0,4.0,3.0,6.0
,10.85.217.148,172.23.73.110,user_166,0,5,41998,80,704,-0.32176742810851183,1.1304247012450546,3455,,,1,0.0736994695818717,-0.14783584308659553,12,0,-0.56554914439703,0,0,1,3,0,42.68,0,,,
,192.168.227.17,10.45.83.226,user_127,5,0,7501,80,915,0.07560837053583194,-0.36378456368029455,5539,,2026-06-11 07:11:42,1,-0.9675724709699153,-0.19278556590852058,20,0,0.2883957782721074,2,0,0,2,1,25.82,0,,,
,172.22.35.208,172.18.131.225,user_534,4,2,62622,445,916,0.694641327452436,-0.29368621278734497,4457,,,1,-0.44693650069402174,0.7361753724112637,0,1,0.4781613166430268,1,0,1,3,0,57.41,0,,,
,172.21.126.49,10.112.75.217,user_114,4,1,3470,22,1344,-0.2406550926650833,0.5714218567163951,1437,,,1,-0.9675724709699153,-0.7771319625935462,18,1,0.402255101294659,0,0,0,2,0,62.35,0,,,
2026-06-11 06:23:18,192.168.9.181,10.114.183.157,user_50,5,1,31097,22,466,-0.6361040080167254,-0.44387377462125216,3785,2026-06-11 06:23:18,2026-06-11 09:28:18,1,1.1149714101336587,-0.6123163122464877,21,0,-1.3625644055548916,1,0,0,0,0,42.35,0,6.0,3.0,6.0
2026-06-11 08:46:00,10.84.245.239,10.99.51.70,user_181,5,4,52995,445,896,1.56140319586197,1.1693622792579526,4198,2026-06-11 08:46:00,2026-06-11 18:44:00,0,-0.7072544858319685,0.48146027642035516,31,0,1.426989008497624,0,0,1,4,1,44.49,1,8.0,3.0,6.0
2026-06-11 02:32:24,172.22.39.253,192.168.107.248,user_24,4,4,52754,3389,175,-1.304128792395415,1.2445631648722384,4724,2026-06-11 02:32:24,2026-06-11 21:16:24,1,0.0736994695818717,-0.13285260214595385,27,0,-1.3625644055548916,1,1,0,0,0,51.54,0,2.0,3.0,6.0
2026-06-11 08:19:06,10.134.252.9,172.22.43.47,user_341,2,0,32817,80,829,1.4046004158017242,-0.22601110567153362,4787,2026-06-11 08:19:06,,1,-0.9675724709699153,0.19677869854816318,38,0,0.8956455010590495,1,0,0,3,0,22.04,0,8.0,3.0,6.0
,192.168.167.174,192.168.254.64,user_9,0,4,65356,80,352,0.33561224226375064,-1.2828298893561112,2183,,,1,0.3340174547198184,0.3166446260732967,20,0,-0.7173615750937655,0,0,0,2,1,31.88,0,,,
2026-06-11 08:03:00,192.168.237.99,172.26.10.100,user_475,0,2,4820,22,480,-0.20977481086713093,-1.3376557798138646,6078,2026-06-11 08:03:00,,1,-0.44693650069402174,0.9908904684021724,11,0,-1.1348457595097883,1,0,0,1,0,44.54,1,8.0,3.0,6.0
,172.18.220.247,192.168.43.136,user_138,2,2,28368,445,750,0.9672885625273614,-0.19724512688339146,5288,,2026-06-11 13:10:36,1,-0.7072544858319685,-0.3576012162555791,30,0,0.21248956292373963,2,0,1,0,1,26.86,0,,,
,10.116.189.205,172.20.97.94,user_426,3,0,45725,445,281,1.6865271659128738,-0.4727552256612055,5727,,2026-06-11 18:00:48,1,2.4165613358233924,0.0918960119636714,35,0,2.565582238723141,2,0,0,2,1,49.76,1,,,
2026-06-11 11:53:00,10.142.238.108,192.168.98.182,user_134,5,2,6259,445,695,-0.39774719454105023,0.45276993420320183,2910,2026-06-11 11:53:00,2026-06-11 00:23:00,1,-0.9675724709699153,-0.9868973357625298,16,0,-1.0968926518356044,0,1,0,1,1,34.5,0,11.0,3.0,6.0
,192.168.253.214,192.168.209.130,user_242,4,0,49085,443,1318,2.1622011631397333,-1.0775185521249955,3747,,,1,0.5943354398577652,0.016979807260462994,0,0,-0.37578360602611055,1,0,0,4,0,43.38,0,,,
2026-06-11 03:08:12,192.168.50.79,10.51.231.184,user_472,5,3,31361,443,348,-0.8102371648386578,-0.4851977791715805,1988,2026-06-11 03:08:12,,1,-0.9675724709699153,0.21176193948880487,23,0,0.8576923933848657,2,0,0,4,1,53.65,0,3.0,3.0,6.0
2026-06-11 11:30:12,172.31.125.168,192.168.59.223,user_18,5,3,29025,445,86,-0.7301374557502528,0.5946468409284981,2481,2026-06-11 11:30:12,,1,1.6356073804095521,-0.2527185296710873,10,0,-1.3625644055548916,1,0,0,2,0,54.29,0,11.0,3.0,6.0
,192.168.175.202,192.168.232.61,user_71,3,4,50915,22,635,-1.1631249122856393,0.20734119377763957,2350,,,1,0.3340174547198184,-1.2565956726940801,13,0,-0.48964292904866225,2,1,0,2,0,58.52,0,,,
,192.168.16.150,172.19.21.105,user_76,2,4,24410,22,234,0.5620123495017302,-1.3513032611692255,3073,,,0,-0.18661851555607503,0.1817954576075215,18,0,-0.7173615750937655,1,1,1,0,0,50.4,0,,,
2026-06-11 23:50:48,192.168.53.208,172.18.17.93,user_215,4,0,51855,445,1038,-0.2275738889702855,-1.313987315214371,2684,2026-06-11 23:50:48,2026-06-11 08:34:48,1,0.5943354398577652,-0.22275204778980395,1,0,-1.3625644055548916,1,1,0,2,0,55.8,0,23.0,3.0,6.0
,172.22.90.15,10.2.131.208,user_118,3,4,57398,22,506,-0.7523901610034055,-1.455149632787155,3535,,,1,-0.18661851555607503,-0.5823498303652044,24,0,-0.41373671370029447,0,0,0,1,0,63.92,1,,,
,172.23.209.1,10.13.108.47,user_28,5,0,28487,3389,544,1.139228659986129,-0.21758330480021568,2632,,2026-06-11 16:16:42,1,-0.9675724709699153,0.12186249384495478,0,0,-1.3625644055548916,0,0,0,1,1,53.03,0,,,
,172.21.189.49,10.46.188.111,user_346,3,3,6497,3389,874,2.0549032745614517,-0.980557004332444,6733,,2026-06-11 19:26:42,1,0.3340174547198184,-0.40255093907750417,9,0,-1.3625644055548916,2,0,0,3,0,67.64,0,,,
,192.168.126.11,172.31.17.101,user_215,0,4,18983,445,876,0.3205443621010021,-0.23012292194254794,2502,,,1,0.0736994695818717,0.04694628914174636,31,0,-1.3246112978807076,0,1,1,2,0,30.13,0,,,
,10.115.37.11,172.27.124.53,user_426,3,0,11651,445,1380,-1.0703046873660351,-0.9557840225417134,4968,,,1,0.0736994695818717,1.4104212147401396,30,0,-0.6224788059083058,1,0,0,2,0,33.8,0,,,
2026-06-11 10:43:24,172.23.214.123,172.22.84.101,user_421,3,2,55497,80,1200,-0.897604637937974,0.8442928288115109,2730,2026-06-11 10:43:24,,1,-0.9675724709699153,-0.5224168666026376,17,0,-0.28090083684065087,1,0,0,2,1,27.33,0,10.0,3.0,6.0
,172.19.22.195,172.22.143.190,user_569,1,4,49443,443,259,-0.5915195162141227,-1.2606290938122462,1323,,,1,0.0736994695818717,-0.9269643719999631,13,0,0.5920206396655785,0,1,0,4,1,47.97,0,,,
,10.45.218.64,172.21.55.94,user_571,0,4,33480,80,401,1.0477393154188412,2.033822700045013,2322,,,1,-0.44693650069402174,-0.31265149343365406,6,0,-1.3435878517177997,0,1,0,4,0,65.31,0,,,
,10.6.144.181,10.199.123.197,user_118,1,1,15572,3389,641,1.5535548594075124,0.02160658700575299,1499,,2026-06-11 15:44:48,1,-0.18661851555607503,0.00199656631982131,17,0,-1.3625644055548916,2,0,0,1,1,48.01,0,,,
2026-06-11 15:18:36,192.168.255.164,10.12.9.44,user_593,4,4,12789,443,265,-0.04056591134876948,1.4700218997780554,6563,2026-06-11 15:18:36,2026-06-11 04:41:36,1,1.895925365547499,1.814968720137465,34,1,1.2372234701267044,0,1,1,2,0,87.98,1,15.0,3.0,6.0
,172.31.206.166,10.254.187.214,user_91,5,0,9828,3389,1118,-1.2795827295496471,-1.0211680932411558,3054,,,1,-0.7072544858319685,-0.2826850115523707,2,0,0.8387158395477737,2,0,0,0,0,64.51,0,,,
2026-06-11 15:44:48,192.168.175.119,10.176.33.46,user_532,0,0,52451,3389,1146,-0.6129254729532654,-0.8337331993991224,5764,2026-06-11 15:44:48,,1,-0.18661851555607503,-1.0168638176438132,25,0,-0.7363381289308575,2,0,0,3,1,36.51,0,15.0,3.0,6.0
,10.151.22.134,192.168.86.87,user_581,1,2,11867,80,1474,0.19781790549637296,-1.4156229789389303,2910,,,1,-0.18661851555607503,-0.34261797531493743,7,1,-1.3625644055548916,2,1,1,4,1,32.74,0,,,
2026-06-11 13:23:00,172.26.125.188,192.168.28.17,user_206,5,3,3127,22,338,0.16100074003982612,-0.6305237918531489,3550,2026-06-11 13:23:00,2026-06-11 12:33:00,1,-0.9675724709699153,-0.4325174209587875,11,0,1.1802938086154287,1,1,1,1,0,34.12,0,13.0,3.0,6.0
,10.127.2.133,10.200.200.49,user_449,4,5,35666,80,1044,-0.5437679149354276,0.5148873116340158,1738,,,1,0.5943354398577652,0.27169490325137163,2,0,0.45918476280593484,1,0,0,1,0,41.4,0,,,
2026-06-11 15:12:48,10.129.162.231,192.168.52.81,user_63,1,3,4070,3389,152,-0.8209497872687532,-0.9185684872406077,6053,2026-06-11 15:12:48,,1,0.5943354398577652,-0.9419476129406047,20,0,0.32634888594629125,0,0,1,2,1,78.06,0,15.0,3.0,6.0
2026-06-11 19:22:06,172.22.38.225,172.20.32.68,user_176,1,3,64607,3389,1325,0.04297286972250564,0.9414351157808103,4830,2026-06-11 19:22:06,,1,0.5943354398577652,-0.6422827941277711,16,1,0.5350909781543026,2,0,0,4,1,79.7,0,19.0,3.0,6.0
,172.25.101.0,10.135.228.217,user_158,5,0,31721,3389,1315,-0.8402977014920674,0.5936511019454889,4929,,,1,-0.9675724709699153,0.22674518042944655,23,0,0.9146220548961415,0,0,0,3,1,64.09,0,,,
2026-06-11 07:10:18,10.247.132.49,192.168.77.158,user_406,5,5,53601,3389,350,1.5348357379303652,0.7065243913354373,5757,2026-06-11 07:10:18,,1,3.978469246651073,3.313292814201633,20,0,1.6167545468685434,1,0,1,3,0,87.04,1,7.0,3.0,6.0
2026-06-11 11:16:54,10.158.34.79,10.93.86.93,user_587,3,2,9018,443,592,-0.18403867095269758,0.053523786810712404,4171,2026-06-11 11:16:54,2026-06-11 20:47:54,1,3.1975152912372327,1.7999854791968233,18,1,0.13658334757537186,0,1,1,0,1,65.01,1,11.0,3.0,6.0
,10.217.91.85,10.109.148.172,user_356,2,2,35252,443,1083,-0.5688347570494932,-1.1056234941092913,3458,,,1,-0.7072544858319685,-0.44750066189942916,30,0,-0.9071271134646849,1,0,0,1,1,63.43,0,,,
2026-06-11 13:17:06,192.168.238.128,172.30.43.106,user_117,1,2,62951,22,1473,0.08896153673740746,-0.3693757635832082,5847,2026-06-11 13:17:06,,1,-0.7072544858319685,-0.13285260214595385,22,0,-0.5275960367228462,2,1,0,4,0,31.84,0,13.0,3.0,6.0
2026-06-11 08:11:18,172.16.221.230,172.23.140.25,user_593,1,0,56777,22,1215,-0.4632303654992315,1.3937148234616368,1858,2026-06-11 08:11:18,,1,-0.44693650069402174,-1.4363945639817803,5,0,1.5977779930314513,1,0,0,1,0,15.46,0,8.0,3.0,6.0
2026-06-11 05:33:18,10.227.15.81,192.168.133.63,user_436,5,4,52397,445,940,-0.8695076320072573,1.234933783177726,3413,2026-06-11 05:33:18,2026-06-11 02:26:18,0,-0.9675724709699153,-0.6722492760090545,10,0,-0.4706663752115703,2,0,0,3,1,38.08,0,5.0,3.0,6.0
,10.240.134.86,192.168.227.103,user_186,2,4,37009,443,1020,0.023291271005059927,-0.9141152747468473,2596,,2026-06-11 22:55:00,0,-0.18661851555607503,-0.6572660350684127,16,0,0.11760679373827991,2,0,0,0,0,44.83,0,,,
,192.168.165.77,192.168.73.25,user_24,5,5,37243,80,855,-0.2223988860930896,0.04047876937784439,4236,,2026-06-11 08:51:06,1,-0.18661851555607503,0.7211921314706221,12,0,1.1423407009412447,2,0,0,3,1,50.18,0,,,
,172.22.11.82,172.22.213.105,user_513,1,4,56203,443,1062,-0.01628988219767464,-1.2649015671292587,2851,,,0,0.3340174547198184,-0.597333071305846,10,0,0.7628096241994059,1,0,0,3,0,75.56,0,,,
,10.176.166.200,192.168.77.189,user_112,5,5,37681,445,297,-0.9077328303003129,-0.6832795493327808,1509,,,0,-0.9675724709699153,-0.5673665894245626,33,0,-0.888150559627593,0,0,1,4,1,35.19,0,,,
,192.168.16.16,10.213.131.152,user_135,0,3,63927,80,1300,2.6519786344769383,-0.3745050744788773,2024,,,1,-0.18661851555607503,0.07691277102302972,4,0,-0.41373671370029447,0,0,0,2,1,46.74,0,,,
2026-06-11 08:27:18,10.142.136.53,10.247.209.142,user_208,3,0,46285,445,581,1.584074453341866,1.2008075489902925,6695,2026-06-11 08:27:18,2026-06-11 00:02:18,1,3.1975152912372327,0.9459407455802473,14,0,2.034238731284566,0,1,1,3,1,57.95,1,8.0,3.0,6.0
2026-06-11 12:43:06,10.243.207.164,10.107.118.39,user_186,0,0,2204,3389,386,0.5519786689325267,-0.5874292127750496,4858,2026-06-11 12:43:06,,1,-0.18661851555607503,1.245605564393081,28,0,0.19351300908664767,1,1,1,4,1,53.84,1,12.0,3.0,6.0
,172.31.252.38,10.237.76.29,user_18,5,5,2398,80,1384,0.3466759084969208,0.14430338535412807,60,,,1,-0.44693650069402174,-0.1778023249678789,15,1,-1.229728528695248,0,1,0,1,0,33.65,0,,,
,192.168.134.130,192.168.175.16,user_292,5,2,14749,445,858,2.111201442276544,-0.10782943972006398,4684,,,1,1.3752893952716054,2.1595832617722235,21,0,0.4781613166430268,1,1,1,0,1,54.72,0,,,
,172.24.102.204,10.108.66.100,user_94,4,2,47124,445,1371,-0.4540530775045621,0.27397035658356733,2300,,2026-06-11 11:12:18,1,-0.18661851555607503,-0.267701770611729,4,0,-1.1538223133468801,2,1,1,1,0,38.36,0,,,
,172.30.164.32,10.26.85.46,user_566,1,3,52485,445,1172,0.03201914577930942,-0.8770637435135314,4900,,2026-06-11 19:55:36,1,0.3340174547198184,0.34661110795458,15,0,-0.01522908312136368,1,0,1,2,0,39.91,0,,,
,192.168.27.184,10.221.85.179,user_471,1,0,31693,22,614,-0.19181949898348705,-0.8735393295669477,1732,,,1,-0.44693650069402174,-0.7921152035341879,20,1,1.3131296854750723,2,0,0,2,1,53.18,0,,,
,192.168.131.185,192.168.41.29,user_55,1,5,59070,445,1161,-0.2737612236319824,-0.2528759760820314,2867,,,1,0.5943354398577652,-0.19278556590852058,17,0,1.4839186700088998,2,0,0,2,1,36.36,0,,,
,192.168.22.245,172.30.164.200,user_470,3,3,59596,443,477,-0.31650369987449484,1.7181951980727521,4740,,2026-06-11 02:31:00,1,-0.18661851555607503,-0.2826850115523707,14,1,-1.3056347440436158,1,0,0,3,0,32.53,0,,,
,192.168.23.54,192.168.240.51,user_487,1,5,62999,22,350,-1.1682574812965294,-0.6595123475904342,4396,,,1,0.0736994695818717,0.9459407455802473,23,0,-0.2619242830035589,0,0,0,2,0,38.87,0,,,
,192.168.91.28,192.168.58.250,user_299,1,4,18551,443,963,-1.2537347185331351,-0.9278163084508744,2460,,2026-06-11 23:26:00,1,-0.44693650069402174,-0.3576012162555791,6,0,-1.3625644055548916,1,0,1,1,0,38.42,0,,,
2026-06-11 21:05:12,10.190.130.33,192.168.41.117,user_16,1,2,55146,443,348,-0.6372150037890939,0.5073196953631461,1585,2026-06-11 21:05:12,,1,-0.9675724709699153,-0.7471654807122629,15,0,-0.6224788059083058,0,1,0,0,1,44.96,0,21.0,3.0,6.0
2026-06-11 00:23:54,172.21.112.84,10.192.179.11,user_323,3,3,29482,443,352,-0.4847674814615011,-0.6899267346109529,3943,2026-06-11 00:23:54,2026-06-11 06:06:54,1,-0.7072544858319685,0.22674518042944655,7,0,-0.07215874463263951,2,0,0,3,1,67.49,1,0.0,3.0,6.0
2026-06-11 00:51:12,192.168.104.151,172.18.20.165,user_72,0,0,64713,445,1012,-0.7660384354570164,1.0079086420734273,1894,2026-06-11 00:51:12,,1,-0.7072544858319685,-0.7022157578903379,21,1,-0.2998773906777428,2,1,0,2,1,16.62,1,0.0,3.0,6.0
,10.82.8.176,192.168.240.181,user_534,5,1,19343,3389,745,-1.1256056592229429,-0.012774020837844237,1311,,2026-06-11 00:20:36,1,0.5943354398577652,-0.3725844571962208,19,0,-0.09113529846973145,1,0,1,4,0,50.99,0,,,
2026-06-11 03:11:36,10.202.170.0,172.26.21.253,user_487,4,3,16432,445,331,-0.047283963909810586,0.7198070473155109,3289,2026-06-11 03:11:36,,0,-0.18661851555607503,0.0918960119636714,13,0,0.7248565165252221,1,0,1,2,0,22.89,0,3.0,3.0,6.0
2026-06-11 22:09:48,172.17.29.65,192.168.174.218,user_535,5,2,38402,22,1245,-0.5195323908385338,-1.4125420453797373,2633,2026-06-11 22:09:48,2026-06-11 06:02:48,1,-0.9675724709699153,0.6163094448861304,27,0,-1.3625644055548916,1,0,0,4,1,43.37,0,22.0,3.0,6.0
,10.71.100.186,192.168.129.62,user_83,4,3,35397,443,817,0.5826988593257801,-0.46126992038323583,3183,,,1,0.5943354398577652,-0.6872325169496961,18,0,0.7628096241994059,0,1,0,3,1,48.57,0,,,
,172.28.130.157,172.18.96.204,user_277,1,0,29400,3389,358,-1.2961396526573064,1.5341023054896588,3780,,,1,-0.7072544858319685,-1.0318470585844548,17,1,0.21248956292373963,2,0,0,4,1,36.02,0,,,
2026-06-11 00:32:48,172.20.101.150,172.26.83.170,user_505,3,4,19994,22,470,1.880590738213772,0.01714500695751359,3547,2026-06-11 00:32:48,,1,-0.9675724709699153,0.3316278670139383,9,0,4.064729991853404,1,0,0,2,0,51.15,1,0.0,3.0,6.0
2026-06-11 20:04:36,192.168.121.155,192.168.188.85,user_61,4,5,7743,443,628,-0.6473933452661579,-0.6992866810512391,1984,2026-06-11 20:04:36,,1,-0.44693650069402174,0.49644351736099684,22,0,-1.3246112978807076,1,0,0,3,1,44.61,0,20.0,3.0,6.0
2026-06-11 13:10:48,172.19.6.47,172.29.9.187,user_482,3,3,33418,22,1205,-0.4067026691436669,2.1287040737940677,4277,2026-06-11 13:10:48,,1,-0.9675724709699153,-0.9419476129406047,18,0,0.7058799626881301,0,0,1,4,0,71.43,0,13.0,3.0,6.0
,172.23.71.11,172.24.235.24,user_556,1,0,41480,80,990,0.9768303960098393,0.7128218128363845,7212,,,1,0.8546534249957118,0.586342963004847,16,0,1.5598248853572674,2,1,1,3,0,51.99,1,,,
2026-06-11 01:10:36,192.168.191.53,172.24.121.91,user_322,3,3,24324,22,922,0.2319771678724964,-0.7925999750909167,1818,2026-06-11 01:10:36,,1,-0.9675724709699153,-0.11786936120531216,26,0,-0.8312208981163172,0,0,0,3,0,54.37,0,1.0,3.0,6.0
,192.168.245.33,172.25.112.54,user_121,1,1,38234,443,921,-0.030813837346867726,-0.45289399834968813,2771,,,1,-0.7072544858319685,-0.4175341800181458,7,0,-1.3625644055548916,0,0,0,1,1,40.42,0,,,
2026-06-11 03:45:30,192.168.34.99,192.168.157.16,user_459,1,1,43478,22,554,2.327596801126892,0.28661373140144003,7221,2026-06-11 03:45:30,2026-06-11 04:06:30,1,-0.44693650069402174,4.811616908265801,7,0,1.4649421161718077,1,1,1,4,0,87.54,1,3.0,3.0,6.0
2026-06-11 07:52:30,10.85.145.243,172.25.20.205,user_29,4,4,61877,443,1097,0.18246456114211307,-1.357920323251273,5657,2026-06-11 07:52:30,,1,1.1149714101336587,0.21176193948880487,18,0,0.19351300908664767,1,1,0,0,1,38.74,0,7.0,3.0,6.0
2026-06-11 08:37:00,10.181.148.233,192.168.83.79,user_489,4,5,1930,3389,197,-0.009068409677279034,0.18480402254371608,3667,2026-06-11 08:37:00,2026-06-11 09:44:00,1,0.0736994695818717,0.5114267583016385,14,0,-1.3246112978807076,2,0,0,1,0,41.08,0,8.0,3.0,6.0
,192.168.251.245,172.26.184.124,user_428,1,2,17178,80,365,-0.42498587908512786,0.8761062709409299,1129,,2026-06-11 08:28:06,1,0.0736994695818717,-0.8220816854154712,20,0,0.8197392857106818,2,1,0,3,0,49.0,0,,,
2026-06-11 01:26:18,172.29.36.218,192.168.197.160,user_557,2,0,20554,443,320,-0.8588953078066119,-0.17487530673904936,2914,2026-06-11 01:26:18,,1,-0.9675724709699153,-0.552383348483921,12,1,0.3453254397833832,1,0,0,2,0,52.75,0,1.0,3.0,6.0
,10.248.159.86,172.20.33.84,user_41,2,0,41693,22,1464,1.8270314836875046,-0.9616798014276651,4397,,2026-06-11 03:34:42,1,2.4165613358233924,3.4481419826674085,36,0,0.09863023990118797,0,0,1,1,0,91.47,1,,,
,172.16.67.14,192.168.85.91,user_222,3,3,6538,445,562,-0.33997348556578055,-0.7830241457450706,1477,,,1,0.5943354398577652,-0.40255093907750417,27,0,-0.01522908312136368,0,0,0,3,1,30.0,0,,,
,10.92.91.29,10.110.250.11,user_63,5,0,1194,80,87,1.8930701525318703,-1.3203315950204009,4889,,,1,0.3340174547198184,0.7811250952331888,32,0,1.332106239312164,2,0,0,3,0,49.52,1,,,
,192.168.104.180,10.125.195.213,user_448,3,1,9459,22,1058,-0.27001932814865776,1.037471212047977,2517,,2026-06-11 16:06:12,1,0.0736994695818717,-1.2715789136347218,26,0,-0.7173615750937655,1,0,0,2,0,51.14,1,,,
2026-06-11 13:32:42,172.27.8.13,10.232.249.227,user_279,0,4,9215,80,120,0.9881274485076911,-0.9515299578445549,5086,2026-06-11 13:32:42,,1,0.5943354398577652,2.1146335389502986,27,0,0.402255101294659,2,1,0,3,1,58.45,1,13.0,3.0,6.0
2026-06-11 01:59:54,192.168.92.1,172.19.185.25,user_202,0,1,5496,443,524,0.9370852937781962,-1.046105079099676,6511,2026-06-11 01:59:54,,1,-0.9675724709699153,-0.057936397442745424,19,0,0.6679268550139462,1,0,0,3,1,56.23,0,1.0,3.0,6.0
,10.33.101.138,192.168.212.95,user_133,1,5,62928,80,870,0.5380545743479284,1.353471906950004,878,,,1,-0.9675724709699153,-0.2377352887304456,13,1,-0.45168982137447833,1,0,0,4,0,59.54,0,,,
2026-06-11 18:19:24,172.18.202.145,10.94.93.107,user_212,2,5,39208,443,716,-1.2391837600144746,0.4994106828695304,3462,2026-06-11 18:19:24,2026-06-11 16:01:24,1,-0.9675724709699153,-0.34261797531493743,22,0,0.6869034088510382,2,0,0,1,1,35.0,0,18.0,3.0,6.0
2026-06-11 22:58:00,192.168.124.139,192.168.115.226,user_33,2,5,32882,445,684,1.3484295496855487,1.4924921305761463,5344,2026-06-11 22:58:00,,1,-0.44693650069402174,1.110756395927306,43,0,0.17453645524955574,2,0,0,2,1,60.27,0,22.0,3.0,6.0
,172.20.25.104,192.168.71.99,user_385,3,4,60213,22,714,-0.21460069875335686,-0.12114221889626219,1428,,,1,-0.9675724709699153,-1.0018805767031715,5,0,-0.8691740057905011,1,1,0,0,0,64.71,0,,,
2026-06-11 19:14:06,172.25.4.205,172.16.250.63,user_322,5,4,32668,445,709,-0.6959646916893957,1.5489045093631313,1527,2026-06-11 19:14:06,,1,-0.7072544858319685,-0.8070984444748296,9,0,1.2182469162896126,2,0,0,4,1,49.47,0,19.0,3.0,6.0
,192.168.166.143,172.23.34.147,user_378,4,3,37608,22,78,1.3309178645860102,-0.7371180683620042,3215,,,1,0.8546534249957118,0.031963048201104675,21,1,1.1992703624525205,0,1,0,0,0,51.48,0,,,
2026-06-11 21:10:18,10.36.178.197,10.50.81.179,user_212,2,0,61215,80,1474,-0.29056503468905676,0.5904312669819433,2040,2026-06-11 21:10:18,,1,-0.7072544858319685,-0.4325174209587875,0,0,1.6357311007056352,2,0,0,0,1,19.81,0,21.0,3.0,6.0
,192.168.156.146,172.22.79.28,user_354,4,1,26634,443,1207,1.8671777788369475,1.1065219451201471,6029,,,1,-0.9675724709699153,0.3316278670139383,9,0,-0.48964292904866225,1,0,0,4,0,46.72,0,,,
,192.168.145.29,172.30.229.145,user_17,5,4,12543,22,191,-0.9710171554590148,0.5271692080983927,3991,,,1,0.5943354398577652,0.8860077818176806,29,0,-0.8312208981163172,0,0,0,0,1,54.81,0,,,
,10.214.181.81,10.60.203.55,user_82,2,3,54143,3389,1326,1.900388065657506,-0.43305285316892056,3455,,,1,3.457833276375179,5.410946545891469,19,0,1.3510827931492562,2,1,1,2,1,96.03,1,,,
