timestamp,src_ip,dst_ip,username,department,protocol,source_port,destination_port,packet_size,bytes_sent,bytes_received,session_duration,login_time,logout_time,login_success,failed_login_count,file_access_count,email_sent_count,usb_inserted,database_queries,privilege_level,access_sensitive_data,off_hours_activity,geo_location,vpn_used,anomaly_score,insider_threat_label
56:13.9,172.22.90.15,10.2.131.208,user_118,IT,TCP,57398,22,506,294953,16738,3535,56:13.9,55:08.9,1,3,58,24,0,51,Admin,0,0,India,0,63.92,1
32:24.7,172.23.209.1,10.13.108.47,user_28,Research,HTTPS,28487,3389,544,1275670,756241,2632,32:24.7,16:16.7,1,0,105,0,0,1,Admin,0,0,India,1,53.03,0
27:13.7,172.21.189.49,10.46.188.111,user_346,IT,SSH,6497,3389,874,1750405,300329,6733,27:13.7,19:26.7,1,5,70,9,0,1,User,0,0,UK,0,67.64,0
45:56.5,192.168.126.11,172.31.17.101,user_215,Admin,TCP,18983,445,876,851220,748748,2502,45:56.5,27:38.5,1,4,100,31,0,3,Admin,1,1,Singapore,0,30.13,0
27:28.3,10.115.37.11,172.27.124.53,user_426,IT,HTTPS,11651,445,1380,130129,315132,4968,27:28.3,50:16.3,1,4,191,30,0,40,PowerUser,0,0,Singapore,0,33.8,0
10:43.4,172.23.214.123,172.22.84.101,user_421,IT,SMB,55497,80,1200,219666,1390761,2730,10:43.4,56:13.4,1,0,62,17,0,58,PowerUser,0,0,Singapore,1,27.33,0
32:19.6,172.19.22.195,172.22.143.190,user_569,Finance,TCP,49443,443,259,378357,132973,1323,32:19.6,54:22.6,1,4,35,13,0,104,Admin,1,0,USA,1,47.97,0
51:01.4,10.45.218.64,172.21.55.94,user_571,Admin,TCP,33480,80,401,1228237,2101560,2322,51:01.4,29:43.4,1,2,76,6,0,2,Admin,1,0,USA,0,65.31,0
50:45.8,10.6.144.181,10.199.123.197,user_118,Finance,RDP,15572,3389,641,1490479,899168,1499,50:45.8,15:44.8,1,3,97,17,0,1,User,0,0,India,1,48.01,0
15:18.6,192.168.255.164,10.12.9.44,user_593,Operations,TCP,12789,443,265,664001,1764663,6563,15:18.6,04:41.6,1,11,218,34,1,138,Admin,1,1,Singapore,0,87.98,1
43:29.1,172.31.206.166,10.254.187.214,user_91,Research,HTTPS,9828,3389,1118,21628,276062,3054,43:29.1,34:23.1,1,1,78,2,0,117,User,0,0,Germany,0,64.51,0
15:44.8,192.168.175.119,10.176.33.46,user_532,Admin,HTTPS,52451,3389,1146,367259,388063,5764,15:44.8,51:48.8,1,3,29,25,0,34,User,0,0,UK,1,36.51,0
46:54.3,10.151.22.134,192.168.86.87,user_581,Finance,SMB,11867,80,1474,787592,40357,2910,46:54.3,35:24.3,1,3,74,7,1,1,User,1,1,USA,1,32.74,0
13:23.0,172.26.125.188,192.168.28.17,user_206,Research,SSH,3127,22,338,768504,509490,3550,13:23.0,12:33.0,1,0,68,11,0,135,PowerUser,1,1,India,0,34.12,0
28:05.5,10.127.2.133,10.200.200.49,user_449,Operations,UDP,35666,80,1044,403114,1193926,1738,28:05.5,57:03.5,1,6,115,2,0,97,PowerUser,0,0,India,0,41.4,0
15:12.8,10.129.162.231,192.168.52.81,user_63,Finance,SSH,4070,3389,152,259408,337370,6053,15:12.8,56:05.8,1,6,34,20,0,90,Admin,0,1,Singapore,1,78.06,0
19:22.1,172.22.38.225,172.20.32.68,user_176,Finance,SSH,64607,3389,1325,707312,1448808,4830,19:22.1,39:52.1,1,6,54,16,1,101,User,0,0,USA,1,79.7,0
37:07.0,172.25.101.0,10.135.228.217,user_158,Research,HTTPS,31721,3389,1315,249377,1240991,4929,37:07.0,59:16.0,1,0,112,23,0,121,Admin,0,0,UK,1,64.09,0
07:10.3,10.247.132.49,192.168.77.158,user_406,Research,UDP,53601,3389,350,1480774,1308438,5757,07:10.3,43:07.3,1,19,318,20,0,158,PowerUser,0,1,UK,0,87.04,1
11:16.9,10.158.34.79,10.93.86.93,user_587,IT,SMB,9018,443,592,589617,918240,4171,11:16.9,20:47.9,1,16,217,18,1,80,Admin,1,1,Germany,1,65.01,1
42:24.8,10.217.91.85,10.109.148.172,user_356,HR,SMB,35252,443,1083,390118,225596,3458,42:24.8,40:02.8,1,1,67,30,0,25,PowerUser,0,0,India,1,63.43,0
13:17.1,192.168.238.128,172.30.43.106,user_117,Finance,SMB,62951,22,1473,731155,665538,5847,13:17.1,50:44.1,1,1,88,22,0,45,User,1,0,USA,0,31.84,0
08:11.3,172.16.221.230,172.23.140.25,user_593,Finance,HTTPS,56777,22,1215,444869,1719066,1858,08:11.3,39:09.3,1,2,1,5,0,157,PowerUser,0,0,India,0,15.46,0
05:33.3,10.227.15.81,192.168.133.63,user_436,Research,TCP,52397,445,940,234233,1624187,3413,05:33.3,02:26.3,0,0,52,10,0,48,User,0,0,UK,1,38.08,0
39:39.0,10.240.134.86,192.168.227.103,user_186,HR,TCP,37009,443,1020,697108,340031,2596,39:39.0,22:55.0,0,3,53,16,0,79,User,0,0,Germany,0,44.83,0
58:15.1,192.168.165.77,192.168.73.25,user_24,Research,UDP,37243,80,855,569729,910445,4236,58:15.1,08:51.1,1,3,145,12,0,133,User,0,0,UK,1,50.18,0
55:26.6,172.22.11.82,172.22.213.105,user_513,Finance,TCP,56203,443,1062,676587,130420,2851,55:26.6,42:57.6,0,5,57,10,0,113,PowerUser,0,0,UK,0,75.56,0
32:00.6,10.176.166.200,192.168.77.189,user_112,Research,UDP,37681,445,297,214415,477966,1509,32:00.6,57:09.6,0,0,59,33,0,26,Admin,0,1,USA,1,35.19,0
58:09.5,192.168.16.16,10.213.131.152,user_135,Admin,SSH,63927,80,1300,2059961,662473,2024,58:09.5,31:53.5,1,3,102,4,0,51,Admin,0,0,Singapore,1,46.74,0
08:27.3,10.142.136.53,10.247.209.142,user_208,IT,HTTPS,46285,445,581,1506302,1603795,6695,08:27.3,00:02.3,1,16,160,14,0,180,Admin,1,1,UK,1,57.95,1
12:43.1,10.243.207.164,10.107.118.39,user_186,Admin,HTTPS,2204,3389,386,971208,535241,4858,12:43.1,33:41.1,1,3,180,28,0,83,PowerUser,1,1,USA,1,53.84,1
47:58.7,172.31.252.38,10.237.76.29,user_18,Research,UDP,2398,80,1384,864768,972485,60,47:58.7,48:58.7,1,2,85,15,1,8,Admin,1,0,India,0,33.65,0
39:10.4,192.168.134.130,192.168.175.16,user_292,Research,SMB,14749,445,858,1779593,821824,4684,39:10.4,57:14.4,1,9,241,21,0,98,PowerUser,1,1,Germany,1,54.72,0
32:52.3,172.24.102.204,10.108.66.100,user_94,Operations,SMB,47124,445,1371,449627,1049967,2300,32:52.3,11:12.3,1,3,79,4,0,12,User,1,1,India,0,38.36,0
58:15.6,172.30.164.32,10.26.85.46,user_566,Finance,SSH,52485,445,1172,701633,362171,4900,58:15.6,19:55.6,1,5,120,15,0,72,PowerUser,0,1,Singapore,0,39.91,0
28:23.5,192.168.27.184,10.221.85.179,user_471,Finance,HTTPS,31693,22,614,585583,364277,1732,28:23.5,57:15.5,1,2,44,20,1,142,User,0,0,Singapore,1,53.18,0
47:19.8,192.168.131.185,192.168.41.29,user_55,Finance,UDP,59070,445,1161,543100,735152,2867,47:19.8,35:06.8,1,6,84,17,0,151,User,0,0,Singapore,1,36.36,0
43:31.0,192.168.22.245,172.30.164.200,user_470,IT,SSH,59596,443,477,520940,1912958,4740,43:31.0,02:31.0,1,3,78,14,1,4,PowerUser,0,0,UK,0,32.53,0
42:32.4,192.168.23.54,192.168.240.51,user_487,Finance,UDP,62999,22,350,79345,492168,4396,42:32.4,55:48.4,1,4,160,23,0,59,Admin,0,0,Singapore,0,38.87,0
42:26.0,192.168.91.28,192.168.58.250,user_299,Finance,TCP,18551,443,963,35029,331844,2460,42:26.0,23:26.0,1,2,73,6,0,1,PowerUser,0,1,India,0,38.42,0
21:05.2,10.190.130.33,192.168.41.117,user_16,Finance,SMB,55146,443,348,354666,1189404,1585,21:05.2,47:30.2,1,0,47,15,0,40,Admin,1,0,Germany,1,44.96,0
00:23.9,172.21.112.84,10.192.179.11,user_323,IT,SSH,29482,443,352,433703,473994,3943,00:23.9,06:06.9,1,1,112,7,0,69,User,0,0,UK,1,67.49,1
00:51.2,192.168.104.151,172.18.20.165,user_72,Admin,HTTPS,64713,445,1012,287877,1488529,1894,00:51.2,32:25.2,1,1,50,21,1,57,User,1,0,Singapore,1,16.62,1
38:29.6,10.82.8.176,192.168.240.181,user_534,Research,RDP,19343,3389,745,101458,878624,1311,38:29.6,00:20.6,1,6,72,19,0,68,PowerUser,0,1,USA,0,50.99,0
03:11.6,10.202.170.0,172.26.21.253,user_487,Operations,SSH,16432,445,331,660518,1316375,3289,03:11.6,58:00.6,0,3,103,13,0,111,PowerUser,0,1,Singapore,0,22.89,0
22:09.8,172.17.29.65,192.168.174.218,user_535,Research,SMB,38402,22,1245,415679,42198,2633,22:09.8,06:02.8,1,0,138,27,0,1,PowerUser,0,0,USA,1,43.37,0
50:55.9,10.71.100.186,192.168.129.62,user_83,Operations,SSH,35397,443,817,987135,610627,3183,50:55.9,43:58.9,1,6,51,18,0,113,Admin,1,0,UK,1,48.57,0
38:45.0,172.28.130.157,172.18.96.204,user_277,Finance,HTTPS,29400,3389,358,13044,1802954,3780,38:45.0,41:45.0,1,1,28,17,1,84,User,0,0,USA,1,36.02,0
00:32.8,172.20.101.150,172.26.83.170,user_505,IT,TCP,19994,22,470,1660032,896502,3547,00:32.8,59:39.8,1,0,119,9,0,287,PowerUser,0,0,Singapore,0,51.15,1
20:04.6,192.168.121.155,192.168.188.85,user_61,Operations,UDP,7743,443,628,349389,468401,1984,20:04.6,53:08.6,1,2,130,22,0,3,PowerUser,0,0,UK,1,44.61,0
13:10.8,172.19.6.47,172.29.9.187,user_482,IT,SSH,33418,22,1205,474176,2158256,4277,13:10.8,24:27.8,1,0,34,18,0,110,Admin,0,1,USA,0,71.43,0
35:45.9,172.23.71.11,172.24.235.24,user_556,Finance,HTTPS,41480,80,990,1191474,1312201,7212,35:45.9,35:57.9,1,7,136,16,0,155,User,1,1,UK,0,51.99,1
01:10.6,192.168.191.53,172.24.121.91,user_322,IT,SSH,24324,22,922,805302,412642,1818,01:10.6,31:28.6,1,0,89,26,0,29,Admin,0,0,UK,0,54.37,0
43:12.8,192.168.245.33,172.25.112.54,user_121,Finance,RDP,38234,443,921,669057,615632,2771,43:12.8,29:23.8,1,1,69,7,0,1,Admin,0,0,India,1,40.42,0
03:45.5,192.168.34.99,192.168.157.16,user_459,Finance,RDP,43478,22,554,1891784,1057522,7221,03:45.5,04:06.5,1,2,418,7,0,150,PowerUser,1,1,USA,0,87.54,1
07:52.5,10.85.145.243,172.25.20.205,user_29,Operations,TCP,61877,443,1097,779632,74837,5657,07:52.5,42:09.5,1,8,111,18,0,83,PowerUser,1,0,Germany,1,38.74,0
08:37.0,10.181.148.233,192.168.83.79,user_489,Operations,UDP,1930,3389,197,680331,996686,3667,08:37.0,09:44.0,1,4,131,14,0,3,User,0,0,India,0,41.08,0
49:39.1,192.168.251.245,172.26.184.124,user_428,Finance,SMB,17178,80,365,464697,1409771,1129,49:39.1,08:28.1,1,4,42,20,0,116,User,1,0,UK,0,49,0
01:26.3,172.29.36.218,192.168.197.160,user_557,HR,HTTPS,20554,443,320,239735,781761,2914,01:26.3,50:00.3,1,0,60,12,1,91,PowerUser,0,0,Singapore,0,52.75,0
50:17.7,10.248.159.86,172.20.33.84,user_41,HR,HTTPS,41693,22,1464,1632264,311609,4397,50:17.7,03:34.7,1,13,327,36,0,78,Admin,0,1,India,0,91.47,1
28:09.9,172.16.67.14,192.168.85.91,user_222,IT,SSH,6538,445,562,508772,418364,1477,28:09.9,52:46.9,1,6,70,27,0,72,Admin,0,0,UK,1,30,0
33:01.4,10.92.91.29,10.110.250.11,user_63,Research,HTTPS,1194,80,87,1666502,97298,4889,33:01.4,54:30.4,1,5,149,32,0,143,User,0,0,UK,0,49.52,1
34:09.2,192.168.104.180,10.125.195.213,user_448,IT,RDP,9459,22,1058,545040,1506194,2517,34:09.2,16:06.2,1,4,12,26,0,35,PowerUser,0,0,Singapore,0,51.14,1
13:32.7,172.27.8.13,10.232.249.227,user_279,Admin,TCP,9215,80,120,1197331,317674,5086,13:32.7,38:18.7,1,6,238,27,0,94,User,1,0,UK,1,58.45,1
01:59.9,192.168.92.1,172.19.185.25,user_202,Admin,RDP,5496,443,524,1170868,261161,6511,01:59.9,50:30.9,1,0,93,19,0,108,PowerUser,0,0,UK,1,56.23,0
39:55.4,10.33.101.138,192.168.212.95,user_133,Finance,UDP,62928,80,870,963989,1695019,878,39:55.4,54:33.4,1,0,81,13,1,49,PowerUser,0,0,USA,0,59.54,0
18:19.4,172.18.202.145,10.94.93.107,user_212,HR,UDP,39208,443,716,42573,1184678,3462,18:19.4,16:01.4,1,0,74,22,0,109,User,0,0,India,1,35,0
22:58.0,192.168.124.139,192.168.115.226,user_33,HR,UDP,32882,445,684,1384131,1778090,5344,22:58.0,52:02.0,1,2,171,43,0,82,User,0,0,Singapore,1,60.27,0
27:09.3,172.20.25.104,192.168.71.99,user_385,IT,TCP,60213,22,714,573772,813869,1428,27:09.3,50:57.3,1,0,30,5,0,27,PowerUser,1,0,Germany,0,64.71,0
19:14.1,172.25.4.205,172.16.250.63,user_322,Research,TCP,32668,445,709,324207,1811799,1527,19:14.1,44:41.1,1,1,43,9,0,137,User,0,0,USA,1,49.47,0
41:31.0,192.168.166.143,172.23.34.147,user_378,Operations,SSH,37608,22,78,1375052,445795,3215,41:31.0,35:06.0,1,7,99,21,1,136,Admin,1,0,Germany,0,51.48,0
21:10.3,10.36.178.197,10.50.81.179,user_212,HR,HTTPS,61215,80,1474,534388,1239067,2040,21:10.3,55:10.3,1,1,68,0,0,159,User,0,0,Germany,1,19.81,0
53:50.5,192.168.156.146,172.22.79.28,user_354,Operations,RDP,26634,443,1207,1653078,1547455,6029,53:50.5,34:19.5,1,0,119,9,0,47,PowerUser,0,0,USA,0,46.72,0
25:17.4,192.168.145.29,172.30.229.145,user_17,Research,TCP,12543,22,191,181605,1201265,3991,25:17.4,31:48.4,1,6,156,29,0,29,Admin,0,0,Germany,1,54.81,0
46:04.2,10.214.181.81,10.60.203.55,user_82,HR,SSH,54143,3389,1326,1670296,627488,3455,46:04.2,43:39.2,1,17,458,19,0,144,User,1,1,Singapore,1,96.03,1
58:37.2,192.168.191.200,192.168.218.236,user_333,HR,SMB,30555,80,154,144959,1158873,502,58:37.2,06:59.2,1,4,61,1,0,111,Admin,0,0,Singapore,1,47.23,0
24:02.6,172.18.9.115,172.27.229.182,user_585,Admin,SMB,54408,443,1373,86761,791994,4564,24:02.6,40:06.6,1,0,99,10,0,90,User,0,0,Singapore,0,49.97,0
28:53.9,192.168.232.5,172.21.8.143,user_176,IT,SSH,62654,80,446,997251,1556213,3370,28:53.9,25:03.9,1,0,114,0,0,53,User,0,0,Germany,0,48.15,0
51:42.1,172.17.137.45,192.168.78.160,user_227,HR,SSH,12379,3389,1288,156181,1090044,3860,51:42.1,56:02.1,1,0,58,19,0,98,Admin,1,0,India,1,59.93,0
51:06.7,10.83.253.5,192.168.71.45,user_52,HR,TCP,34211,445,1437,633608,1417628,3659,51:06.7,52:05.7,1,0,91,9,0,52,PowerUser,0,0,Germany,0,57.65,0
06:32.6,172.29.241.110,192.168.71.61,user_218,Research,SMB,30483,3389,754,298036,153334,4482,06:32.6,21:14.6,1,6,61,15,0,60,User,0,0,Singapore,0,49,0
05:12.3,10.248.185.201,192.168.76.66,user_346,Research,HTTPS,14441,445,974,988070,315645,2800,05:12.3,51:52.3,1,1,56,18,1,27,PowerUser,0,0,Germany,1,20.97,0
55:53.6,172.22.32.52,172.26.64.74,user_515,HR,SSH,12977,445,1395,291829,1436402,1468,55:53.6,20:21.6,1,0,94,9,0,100,User,0,1,India,0,54.33,0
48:40.3,192.168.70.186,192.168.112.116,user_448,Research,TCP,6728,445,299,880565,1373037,4261,48:40.3,59:41.3,1,2,61,13,0,69,Admin,0,0,Germany,1,50.97,0
11:29.6,10.26.130.66,10.177.101.175,user_308,Operations,TCP,39404,22,396,1225759,1042122,1690,11:29.6,39:39.6,1,7,37,21,0,99,Admin,1,0,USA,1,42.16,0
43:35.5,172.20.5.137,172.23.113.64,user_167,Admin,UDP,19346,80,1075,880184,1483873,3386,43:35.5,40:01.5,1,16,197,14,1,120,PowerUser,1,1,USA,1,98.17,1
24:44.1,192.168.97.144,192.168.235.86,user_594,Admin,UDP,52496,443,1229,1188439,1045691,4772,24:44.1,44:16.1,1,28,460,34,0,75,User,1,1,USA,0,86.54,1
08:33.2,10.47.108.187,10.196.128.30,user_396,IT,HTTPS,58303,80,1038,79070,904857,4939,08:33.2,30:52.2,1,0,32,20,1,39,User,1,0,India,0,4.85,0
52:03.1,172.21.41.44,192.168.56.22,user_110,HR,UDP,32232,445,1203,191280,755441,4290,52:03.1,03:33.1,1,0,106,15,0,91,PowerUser,0,0,Singapore,1,45.83,0
30:46.3,10.81.18.229,172.18.62.32,user_202,HR,RDP,48816,445,789,77879,169987,5817,30:46.3,07:43.3,1,1,2,11,1,57,PowerUser,0,0,India,0,70.44,0
12:52.1,192.168.91.95,172.25.251.100,user_576,IT,UDP,49958,22,1033,1350363,139372,2702,12:52.1,57:54.1,1,0,40,17,0,29,User,0,0,Singapore,0,41.91,0
08:03.2,192.168.62.121,172.22.68.252,user_91,Operations,TCP,11510,3389,924,391591,1588829,3081,08:03.2,59:24.2,1,4,9,19,0,77,User,0,0,India,0,57.36,0
15:04.8,10.117.31.23,10.139.63.54,user_451,Finance,SSH,5056,80,208,1360374,145836,3072,15:04.8,06:16.8,1,0,108,16,0,1,User,1,0,USA,0,60.15,0
05:50.8,172.16.227.178,10.226.222.161,user_36,HR,SSH,11555,443,1332,1788098,1304722,6693,05:50.8,57:23.8,1,0,185,26,1,139,PowerUser,1,1,USA,0,82.21,1
48:13.2,192.168.33.179,192.168.234.226,user_447,IT,RDP,39255,3389,448,406902,1439640,4558,48:13.2,04:11.2,1,3,119,31,0,121,User,0,1,Germany,0,28.69,0
18:17.8,10.220.38.219,192.168.169.38,user_141,Finance,RDP,2343,443,993,2487068,359484,3795,18:17.8,21:32.8,1,7,48,19,0,129,PowerUser,0,0,Germany,0,46.98,0
12:20.0,172.29.98.49,172.22.41.245,user_133,HR,TCP,4330,443,422,263779,1717629,3212,12:20.0,05:52.0,1,9,116,11,0,26,User,1,0,UK,0,40.53,0
31:35.2,10.136.210.195,192.168.124.136,user_215,IT,TCP,33507,80,970,868737,112953,4917,31:35.2,53:32.2,1,1,40,5,0,53,User,0,0,Germany,0,47.42,1
04:50.7,10.216.240.90,192.168.132.153,user_319,HR,UDP,5995,443,83,256411,729814,1341,04:50.7,27:11.7,1,2,57,18,0,155,Admin,0,0,India,1,43.56,0
45:48.3,10.174.228.37,172.30.254.203,user_39,Research,RDP,6439,445,712,523352,84624,5739,45:48.3,21:27.3,1,12,89,23,0,118,Admin,0,0,Germany,0,53.56,0
05:43.2,10.6.20.213,192.168.242.138,user_459,Admin,SMB,48651,445,747,1629217,294192,4981,05:43.2,28:44.2,1,4,8,16,0,28,PowerUser,1,0,Germany,1,44.61,0
37:12.7,192.168.77.50,192.168.230.20,user_486,Operations,UDP,5831,22,1491,118102,1179487,6132,37:12.7,19:24.7,1,1,106,17,0,28,PowerUser,0,0,India,1,65.5,0
14:01.8,172.28.18.77,192.168.20.118,user_333,Research,HTTPS,42743,22,1154,295844,1533248,3524,14:01.8,12:45.8,1,2,74,19,0,101,PowerUser,0,0,Germany,0,50.73,0
46:43.5,172.30.47.208,172.31.116.43,user_356,Operations,TCP,15281,443,1366,235738,1105555,6821,46:43.5,40:24.5,1,6,83,20,0,45,PowerUser,1,0,UK,0,31.47,0
47:57.6,172.18.32.227,10.39.25.127,user_481,IT,RDP,60401,445,959,642991,1508140,2018,47:57.6,21:35.6,1,0,48,24,0,36,PowerUser,0,0,India,0,58.8,0
48:46.6,172.19.80.79,172.27.131.223,user_47,Admin,RDP,7392,443,413,972436,1580564,3136,48:46.6,41:02.6,1,1,156,22,0,130,User,0,0,UK,1,39.62,0
50:13.8,172.25.124.78,10.154.132.175,user_252,Finance,SSH,39930,22,1195,560646,1194633,5849,50:13.8,27:42.8,1,0,99,11,0,127,User,0,0,UK,1,50.44,0
18:56.3,192.168.100.180,172.31.175.57,user_423,Operations,SMB,16843,3389,1218,563438,471391,4502,18:56.3,33:58.3,1,3,53,33,0,102,User,1,0,Singapore,1,45.53,0
50:34.9,192.168.159.165,192.168.40.185,user_357,Operations,RDP,20863,3389,1000,481801,1529816,1992,50:34.9,23:46.9,1,7,1,8,1,119,User,1,1,USA,0,34.35,0
46:09.7,10.74.99.49,192.168.150.97,user_26,HR,RDP,9078,3389,1471,203652,607102,1118,46:09.7,04:47.7,1,3,91,12,0,1,PowerUser,0,0,Singapore,1,63.56,0
43:49.0,10.66.33.65,172.28.134.233,user_67,Admin,HTTPS,44475,3389,251,186256,1256469,1855,43:49.0,14:44.0,1,5,98,15,0,40,Admin,0,0,UK,1,51.11,0
14:53.8,192.168.196.243,172.21.79.158,user_131,Research,UDP,37680,80,374,387494,467442,4599,14:53.8,31:32.8,1,0,152,29,0,94,PowerUser,1,1,India,0,56.68,1
07:35.0,10.149.182.103,172.19.246.172,user_436,Finance,RDP,16205,443,1290,1247173,312026,3540,07:35.0,06:35.0,1,15,281,16,0,163,User,1,1,USA,0,85.66,1
34:39.5,172.16.199.179,172.25.171.108,user_296,HR,HTTPS,25931,22,1260,713932,961410,7321,34:39.5,36:40.5,1,5,123,0,0,1,User,1,1,India,0,59.79,0
